title_web,job_type,salary,location,summary,company,date,Country,title,website
Registered Dietitian-Diabetes Educator,Community Health,None,"Longlac, ON","The Diabetes Educator is also a member of the primary care team and will provide counselling to clients in Longlac, Geraldton and surrounding areas.",NorWest Community Health Centres,6/8/21,Canada,Diabetes educator,Indeed
Certified Diabetes Educator/ Registered Nurse,Community Health,None,"Mississauga, ON","Triage referred patients with prediabetes and type 2 diabetes to determine health status, diabetes self-management skills and learning needs, diabetes…",Credit Valley Family Health Team,6/8/21,Canada,Diabetes educator,Indeed
Registered Nurse (Certified Diabetes Educator ),Community Health,"$74,147 a year","Guelph, ON","Building on the medical home model, our interdisciplinary team improves the health of Guelph and area residents through patient-guided, quality focused primary…",Guelph Family Health Team,6/8/21,Canada,Diabetes educator,Indeed
Diabetes Nurse Educator,Community Health,$38.24 - $47.81 an hour,"St. Thomas, ON","This role acts as a role model, resource person, change agent, consultant, and educator in the clinical specialty of diabetes management and education.",St. Thomas Elgin General Hospital,6/8/21,Canada,Diabetes educator,Indeed
Registered Dietitian-Diabetes Educator,Community Health,None,"Longlac, ON","1 FTE Registered Dietitian-Diabetes Educator Maternity Leave (May, 2021-October,2022) *.One of a network of over 75 provincial community health centres, the…",NorWest Community Health Centres,6/8/21,Canada,Diabetes educator,Indeed
Registered Nurse (Certified Diabetes Educator ),Community Health,"$74,147 a year","Guelph, ON","Leading Primary Health Care in Guelph*.The Guelph Family Health Team’s vision is Leadership, Innovation and Excellence in Primary Care.",Guelph Family Health Team,6/8/21,Canada,Diabetes educator,Indeed
Multicultural Sexual Health Community Educator,Community Health,None,"Edmonton, AB","Address sexual health issues, decrease stigma around sexual health and increase access to culturally.When accessing services and culturally appropriate health…",YWCA Edmonton,6/8/21,Canada,Health educator,Indeed
Dental Health Educator,Community Health,$23.92 - $26.80 an hour,"Owen Sound, ON","Apply public health science knowledge to practice.Demonstrate awareness of public health programs and regulations.SPECIFIC KNOWLEDGE, SKILLS AND ABILITIES*.",Grey Bruce Public Health Unit,6/8/21,Canada,Health educator,Indeed
"Clinical Nurse Educator, Public Health (Surrey)",Community Health,$43.09 - $52.82 an hour,"Surrey, BC","Three (3) years of recent related public health nursing clinical experience in the designated clinical area, including one (1) year of education and/or…",Fraser Health,6/8/21,Canada,Health educator,Indeed
Nurse Educator (N4) - Child Health,Community Health,None,"Winnipeg, MB",The organization also delivers some province-wide health services and supports centralized administrative and business functions for Manitoba health…,Health Sciences Centre,6/8/21,Canada,Health educator,Indeed
Clinical Nurse Educator - Correctional Health Services Victo...,Community Health,$43.09 - $52.82 an hour,"Victoria, BC","Understanding of other health disciplines and their role in patient/client care.Communicate effectively with co-workers, physicians, other health care staff…",PHSA,6/8/21,Canada,Health educator,Indeed
Clinical Educator (RN) - Community Health Overdose - Emergen...,Community Health,$43.09 - $52.82 an hour,"Vancouver, BC","Comprehensive health benefits package, including MSP, extended health and dental and municipal pension plan.Comprehensive knowledge of community nursing theory…",Vancouver Coastal Health,6/8/21,Canada,Health educator,Indeed
Dental Health Educator,Community Health,$23.92 - $26.80 an hour,"Owen Sound, ON",Apply public health science knowledge to practice.Demonstrate awareness of public health programs and regulations.Perform other related duties as assigned.,Grey Bruce Public Health Unit,6/8/21,Canada,Health educator,Indeed
"Clinical Nurse Educator, Public Health (Surrey)",Community Health,$43.09 - $52.82 an hour,"Surrey, BC","Fraser Health is BC's largest and fastest growing health authority.We offer a competitive salary package, including comprehensive health benefits coverage.",Fraser Health,6/8/21,Canada,Health educator,Indeed
Nurse Educator (N4) - Child Health,Community Health,None,"Winnipeg, MB",Good physical and mental health.The organization also delivers some province-wide health services and supports centralized administrative and business…,Health Sciences Centre,6/8/21,Canada,Health educator,Indeed
Clinical Nurse Educator - Correctional Health Services Victo...,Community Health,$43.09 - $52.82 an hour,"Victoria, BC","PHSA plans, coordinates and evaluates specialized health services with the BC health authorities to provide equitable and cost-effective health care for people…",PHSA,6/8/21,Canada,Health educator,Indeed
Clinical Nurse Educator - Correctional Health Services Vanco...,Community Health,$43.09 - $52.82 an hour,"Vancouver, BC","Understanding of other health disciplines and their role in patient/client care.Communicate effectively with co-workers, physicians, other health care staff…",PHSA,6/8/21,Canada,Health educator,Indeed
Health Promoter,Community Health,$30.87 - $38.57 an hour,"Charlottetown, PE",Extensive experience in public health and health promotion or related fields of health/wellness and community development.,Jobs PEI,6/8/21,Canada,Health promoter,Indeed
Health Promoter,Community Health,$31.40 - $38.86 an hour,"Niagara, ON","Knowledge of one or more of the following program areas - chronic disease and injury prevention, family health, infectious disease control, sexual health, STIs…",Niagara Region,6/8/21,Canada,Health promoter,Indeed
Indigenous Health Promoter,Community Health,None,"Vancouver, BC",Assist clients and their families in navigating health care and/or social services systems.Your role will be to act as a cultural bridge to support community…,REACH Community Health Centre,6/8/21,Canada,Health promoter,Indeed
Health Promoter – Hepatitis C,Community Health,"$65,362 - $76,897 a year","Toronto, ON","Disseminates accessible health education materials, developed with community members.Provides information and referrals to health and social service supports.",South Riverdale Community Health Centre,6/8/21,Canada,Health promoter,Indeed
Wellness Coordinator,Community Health,"$67,340 a year","Ottawa, ON",Advice on wellness issues and interpret contracts.In coordinating and evaluating wellness and return to work programs.Permanent Full Time Bilingual Essential.,Canadian Forces Morale and Welfare Services,6/8/21,Canada,Wellness coordinator,Indeed
"Administrative Coordinator, Student Wellness Services, Stude...",Community Health,None,"Calgary, AB",Student Wellness Services within Student and Enrolment Services is currently seeking a Full-time Regular Administrative Coordinator.,The University of Calgary,6/8/21,Canada,Wellness coordinator,Indeed
"Activity & Wellness Coordinator (Full time, 40hrs/week)",Community Health,$19.00 - $24.70 an hour,"Edmonton, AB","The AWC is responsible to evaluate activity and wellness of the community, develop and facilitate programming based on the 7 dimensions of wellness, establish…",GEF Seniors Housing,6/8/21,Canada,Wellness coordinator,Indeed
Wellness Coordinator,Community Health,None,"Hamilton, ON","Possess good assessment skills, good judgment, problem-solving and decision-making skills.Possess good organization and time management skills.",Villa Italia Retirement Residence,6/8/21,Canada,Wellness coordinator,Indeed
Wellness Promotion Coordinator,Community Health,"$64,055 a year","Prince George, BC","Employment Status Full Time Employment Type Regular Job Summary Specific Duties.Reporting to Manager, Student Engagement & Recruitment this position develops…",College of New Caledonia,6/8/21,Canada,Wellness coordinator,Indeed
A/Wellness Coordinator - RPN,Community Health,"$58,000 a year","Kanata, ON","Symphony Assistant Wellness Coordinator reports to the Executive Director.Must possess the skills (assessment, interviewing, counseling and writing) to meet…",Symphony Senior Living Kanata,6/8/21,Canada,Wellness coordinator,Indeed
"Safety Coordinator - Occupational Health, Wellness & Safety",Community Health,$32.25 - $39.15 an hour,"Halifax, NS","Type of Employment: Permanent Hourly FT (100% FTE) x 1 position(s).The Safety Coordinator reports to the Central Zone Manager, Occupational Health, Safety and…",Nova Scotia Health Authority,6/8/21,Canada,Wellness coordinator,Indeed
Health & Wellness Coordinator,Community Health,None,"Medicine Hat, AB","Understands the social determinants of health and how they impact client’s overall ability to reach wellness goals, and use them to determine programming;",The Mustard Seed,6/8/21,Canada,Wellness coordinator,Indeed
Healthy Workplace and Wellness Coordinator (8 Weeks Contract...,Community Health,None,"Toronto, ON",Coordinate/create wellness program communications and promotional material to employees through a variety of different methods.,VHA Home HealthCare,6/8/21,Canada,Wellness coordinator,Indeed
